season,lg,team,abbreviation,playoffs
2006,NBA,New York Knicks,NYK,False
2006,NBA,Orlando Magic,ORL,False
2006,NBA,Philadelphia 76ers,PHI,False
2006,NBA,Phoenix Suns,PHO,True
2006,NBA,Portland Trail Blazers,POR,False
2006,NBA,Sacramento Kings,SAC,True
2006,NBA,San Antonio Spurs,SAS,True
2006,NBA,Seattle SuperSonics,SEA,False
2006,NBA,Toronto Raptors,TOR,False
2006,NBA,Utah Jazz,UTA,False
2006,NBA,Washington Wizards,WAS,True
2005,NBA,Atlanta Hawks,ATL,False
2005,NBA,Boston Celtics,BOS,True
2005,NBA,Charlotte Bobcats,CHA,False
2005,NBA,Chicago Bulls,CHI,True
2005,NBA,Cleveland Cavaliers,CLE,False
2005,NBA,Dallas Mavericks,DAL,True
2005,NBA,Denver Nuggets,DEN,True
2005,NBA,Detroit Pistons,DET,True
2005,NBA,Golden State Warriors,GSW,False
2005,NBA,Houston Rockets,HOU,True
2005,NBA,Indiana Pacers,IND,True
2005,NBA,Los Angeles Clippers,LAC,False
2005,NBA,Los Angeles Lakers,LAL,False
2005,NBA,Memphis Grizzlies,MEM,True
2005,NBA,Miami Heat,MIA,True
2005,NBA,Milwaukee Bucks,MIL,False
2005,NBA,Minnesota Timberwolves,MIN,False
2005,NBA,New Jersey Nets,NJN,True
2005,NBA,New Orleans Hornets,NOH,False
2005,NBA,New York Knicks,NYK,False
2005,NBA,Orlando Magic,ORL,False
2005,NBA,Philadelphia 76ers,PHI,True
2005,NBA,Phoenix Suns,PHO,True
2005,NBA,Portland Trail Blazers,POR,False
2005,NBA,Sacramento Kings,SAC,True
2005,NBA,San Antonio Spurs,SAS,True
2005,NBA,Seattle SuperSonics,SEA,True
2005,NBA,Toronto Raptors,TOR,False
2005,NBA,Utah Jazz,UTA,False
2005,NBA,Washington Wizards,WAS,True
2004,NBA,Atlanta Hawks,ATL,False
2004,NBA,Boston Celtics,BOS,True
2004,NBA,Chicago Bulls,CHI,False
2004,NBA,Cleveland Cavaliers,CLE,False
2004,NBA,Dallas Mavericks,DAL,True
2004,NBA,Denver Nuggets,DEN,True
2004,NBA,Detroit Pistons,DET,True
2004,NBA,Golden State Warriors,GSW,False
2004,NBA,Houston Rockets,HOU,True
2004,NBA,Indiana Pacers,IND,True
2004,NBA,Los Angeles Clippers,LAC,False
2004,NBA,Los Angeles Lakers,LAL,True
2004,NBA,Memphis Grizzlies,MEM,True
2004,NBA,Miami Heat,MIA,True
2004,NBA,Milwaukee Bucks,MIL,True
2004,NBA,Minnesota Timberwolves,MIN,True
2004,NBA,New Jersey Nets,NJN,True
2004,NBA,New Orleans Hornets,NOH,True
2004,NBA,New York Knicks,NYK,True
2004,NBA,Orlando Magic,ORL,False
2004,NBA,Philadelphia 76ers,PHI,False
2004,NBA,Phoenix Suns,PHO,False
2004,NBA,Portland Trail Blazers,POR,False
2004,NBA,Sacramento Kings,SAC,True
2004,NBA,San Antonio Spurs,SAS,True
2004,NBA,Seattle SuperSonics,SEA,False
2004,NBA,Toronto Raptors,TOR,False
2004,NBA,Utah Jazz,UTA,False
2004,NBA,Washington Wizards,WAS,False
2003,NBA,Atlanta Hawks,ATL,False
2003,NBA,Boston Celtics,BOS,True
2003,NBA,Chicago Bulls,CHI,False
2003,NBA,Cleveland Cavaliers,CLE,False
2003,NBA,Dallas Mavericks,DAL,True
2003,NBA,Denver Nuggets,DEN,False
2003,NBA,Detroit Pistons,DET,True
2003,NBA,Golden State Warriors,GSW,False
2003,NBA,Houston Rockets,HOU,False
2003,NBA,Indiana Pacers,IND,True
2003,NBA,Los Angeles Clippers,LAC,False
2003,NBA,Los Angeles Lakers,LAL,True
2003,NBA,Memphis Grizzlies,MEM,False
2003,NBA,Miami Heat,MIA,False
2003,NBA,Milwaukee Bucks,MIL,True
2003,NBA,Minnesota Timberwolves,MIN,True
2003,NBA,New Jersey Nets,NJN,True
2003,NBA,New Orleans Hornets,NOH,True
2003,NBA,New York Knicks,NYK,False
2003,NBA,Orlando Magic,ORL,True
2003,NBA,Philadelphia 76ers,PHI,True
2003,NBA,Phoenix Suns,PHO,True
2003,NBA,Portland Trail Blazers,POR,True
2003,NBA,Sacramento Kings,SAC,True
2003,NBA,San Antonio Spurs,SAS,True
2003,NBA,Seattle SuperSonics,SEA,False
2003,NBA,Toronto Raptors,TOR,False
2003,NBA,Utah Jazz,UTA,True
2003,NBA,Washington Wizards,WAS,False
2002,NBA,Atlanta Hawks,ATL,False
2002,NBA,Boston Celtics,BOS,True
2002,NBA,Charlotte Hornets,CHH,True
2002,NBA,Chicago Bulls,CHI,False
2002,NBA,Cleveland Cavaliers,CLE,False
2002,NBA,Dallas Mavericks,DAL,True
2002,NBA,Denver Nuggets,DEN,False
2002,NBA,Detroit Pistons,DET,True
2002,NBA,Golden State Warriors,GSW,False
2002,NBA,Houston Rockets,HOU,False
2002,NBA,Indiana Pacers,IND,True
2002,NBA,Los Angeles Clippers,LAC,False
2002,NBA,Los Angeles Lakers,LAL,True
2002,NBA,Memphis Grizzlies,MEM,False
2002,NBA,Miami Heat,MIA,False
2002,NBA,Milwaukee Bucks,MIL,False
2002,NBA,Minnesota Timberwolves,MIN,True
2002,NBA,New Jersey Nets,NJN,True
2002,NBA,New York Knicks,NYK,False
2002,NBA,Orlando Magic,ORL,True
2002,NBA,Philadelphia 76ers,PHI,True
2002,NBA,Phoenix Suns,PHO,False
2002,NBA,Portland Trail Blazers,POR,True
2002,NBA,Sacramento Kings,SAC,True
2002,NBA,San Antonio Spurs,SAS,True
2002,NBA,Seattle SuperSonics,SEA,True
2002,NBA,Toronto Raptors,TOR,True
2002,NBA,Utah Jazz,UTA,True
2002,NBA,Washington Wizards,WAS,False
2001,NBA,Atlanta Hawks,ATL,False
2001,NBA,Boston Celtics,BOS,False
2001,NBA,Charlotte Hornets,CHH,True
2001,NBA,Chicago Bulls,CHI,False
2001,NBA,Cleveland Cavaliers,CLE,False
2001,NBA,Dallas Mavericks,DAL,True
2001,NBA,Denver Nuggets,DEN,False
2001,NBA,Detroit Pistons,DET,False
2001,NBA,Golden State Warriors,GSW,False
2001,NBA,Houston Rockets,HOU,False
2001,NBA,Indiana Pacers,IND,True
2001,NBA,Los Angeles Clippers,LAC,False
2001,NBA,Los Angeles Lakers,LAL,True
2001,NBA,Miami Heat,MIA,True
2001,NBA,Milwaukee Bucks,MIL,True
2001,NBA,Minnesota Timberwolves,MIN,True
2001,NBA,New Jersey Nets,NJN,False
2001,NBA,New York Knicks,NYK,True
2001,NBA,Orlando Magic,ORL,True
2001,NBA,Philadelphia 76ers,PHI,True
2001,NBA,Phoenix Suns,PHO,True
2001,NBA,Portland Trail Blazers,POR,True
2001,NBA,Sacramento Kings,SAC,True
2001,NBA,San Antonio Spurs,SAS,True
2001,NBA,Seattle SuperSonics,SEA,False
2001,NBA,Toronto Raptors,TOR,True
2001,NBA,Utah Jazz,UTA,True
2001,NBA,Vancouver Grizzlies,VAN,False
2001,NBA,Washington Wizards,WAS,False
2000,NBA,Atlanta Hawks,ATL,False
2000,NBA,Boston Celtics,BOS,False
2000,NBA,Charlotte Hornets,CHH,True
2000,NBA,Chicago Bulls,CHI,False
2000,NBA,Cleveland Cavaliers,CLE,False
2000,NBA,Dallas Mavericks,DAL,False
2000,NBA,Denver Nuggets,DEN,False
2000,NBA,Detroit Pistons,DET,True
2000,NBA,Golden State Warriors,GSW,False
2000,NBA,Houston Rockets,HOU,False
2000,NBA,Indiana Pacers,IND,True
2000,NBA,Los Angeles Clippers,LAC,False
2000,NBA,Los Angeles Lakers,LAL,True
2000,NBA,Miami Heat,MIA,True
2000,NBA,Milwaukee Bucks,MIL,True
2000,NBA,Minnesota Timberwolves,MIN,True
2000,NBA,New Jersey Nets,NJN,False
2000,NBA,New York Knicks,NYK,True
2000,NBA,Orlando Magic,ORL,False
2000,NBA,Philadelphia 76ers,PHI,True
2000,NBA,Phoenix Suns,PHO,True
2000,NBA,Portland Trail Blazers,POR,True
2000,NBA,Sacramento Kings,SAC,True
2000,NBA,San Antonio Spurs,SAS,True
2000,NBA,Seattle SuperSonics,SEA,True
2000,NBA,Toronto Raptors,TOR,True
2000,NBA,Utah Jazz,UTA,True
2000,NBA,Vancouver Grizzlies,VAN,False
2000,NBA,Washington Wizards,WAS,False
1999,NBA,Atlanta Hawks,ATL,True
1999,NBA,Boston Celtics,BOS,False
1999,NBA,Charlotte Hornets,CHH,False
1999,NBA,Chicago Bulls,CHI,False
1999,NBA,Cleveland Cavaliers,CLE,False
1999,NBA,Dallas Mavericks,DAL,False
1999,NBA,Denver Nuggets,DEN,False
1999,NBA,Detroit Pistons,DET,True
1999,NBA,Golden State Warriors,GSW,False
1999,NBA,Houston Rockets,HOU,True
1999,NBA,Indiana Pacers,IND,True
1999,NBA,Los Angeles Clippers,LAC,False
1999,NBA,Los Angeles Lakers,LAL,True
1999,NBA,Miami Heat,MIA,True
1999,NBA,Milwaukee Bucks,MIL,True
1999,NBA,Minnesota Timberwolves,MIN,True
1999,NBA,New Jersey Nets,NJN,False
1999,NBA,New York Knicks,NYK,True
1999,NBA,Orlando Magic,ORL,True
1999,NBA,Philadelphia 76ers,PHI,True
1999,NBA,Phoenix Suns,PHO,True
1999,NBA,Portland Trail Blazers,POR,True
1999,NBA,Sacramento Kings,SAC,True
1999,NBA,San Antonio Spurs,SAS,True
1999,NBA,Seattle SuperSonics,SEA,False
1999,NBA,Toronto Raptors,TOR,False
1999,NBA,Utah Jazz,UTA,True
1999,NBA,Vancouver Grizzlies,VAN,False
1999,NBA,Washington Wizards,WAS,False
1998,NBA,Atlanta Hawks,ATL,True
1998,NBA,Boston Celtics,BOS,False
1998,NBA,Charlotte Hornets,CHH,True
1998,NBA,Chicago Bulls,CHI,True
1998,NBA,Cleveland Cavaliers,CLE,True
1998,NBA,Dallas Mavericks,DAL,False
1998,NBA,Denver Nuggets,DEN,False
1998,NBA,Detroit Pistons,DET,False
1998,NBA,Golden State Warriors,GSW,False
1998,NBA,Houston Rockets,HOU,True
1998,NBA,Indiana Pacers,IND,True
1998,NBA,Los Angeles Clippers,LAC,False
1998,NBA,Los Angeles Lakers,LAL,True
1998,NBA,Miami Heat,MIA,True
1998,NBA,Milwaukee Bucks,MIL,False
1998,NBA,Minnesota Timberwolves,MIN,True
1998,NBA,New Jersey Nets,NJN,True
1998,NBA,New York Knicks,NYK,True
1998,NBA,Orlando Magic,ORL,False
1998,NBA,Philadelphia 76ers,PHI,False
1998,NBA,Phoenix Suns,PHO,True
1998,NBA,Portland Trail Blazers,POR,True
1998,NBA,Sacramento Kings,SAC,False
1998,NBA,San Antonio Spurs,SAS,True
1998,NBA,Seattle SuperSonics,SEA,True
1998,NBA,Toronto Raptors,TOR,False
1998,NBA,Utah Jazz,UTA,True
1998,NBA,Vancouver Grizzlies,VAN,False
1998,NBA,Washington Wizards,WAS,False
1997,NBA,Atlanta Hawks,ATL,True
1997,NBA,Boston Celtics,BOS,False
1997,NBA,Charlotte Hornets,CHH,True
1997,NBA,Chicago Bulls,CHI,True
1997,NBA,Cleveland Cavaliers,CLE,False
1997,NBA,Dallas Mavericks,DAL,False
1997,NBA,Denver Nuggets,DEN,False
1997,NBA,Detroit Pistons,DET,True
1997,NBA,Golden State Warriors,GSW,False
1997,NBA,Houston Rockets,HOU,True
1997,NBA,Indiana Pacers,IND,False
1997,NBA,Los Angeles Clippers,LAC,True
1997,NBA,Los Angeles Lakers,LAL,True
1997,NBA,Miami Heat,MIA,True
1997,NBA,Milwaukee Bucks,MIL,False
1997,NBA,Minnesota Timberwolves,MIN,True
1997,NBA,New Jersey Nets,NJN,False
1997,NBA,New York Knicks,NYK,True
1997,NBA,Orlando Magic,ORL,True
1997,NBA,Philadelphia 76ers,PHI,False
1997,NBA,Phoenix Suns,PHO,True
1997,NBA,Portland Trail Blazers,POR,True
1997,NBA,Sacramento Kings,SAC,False
1997,NBA,San Antonio Spurs,SAS,False
1997,NBA,Seattle SuperSonics,SEA,True
1997,NBA,Toronto Raptors,TOR,False
1997,NBA,Utah Jazz,UTA,True
1997,NBA,Vancouver Grizzlies,VAN,False
1997,NBA,Washington Bullets,WSB,True
1996,NBA,Atlanta Hawks,ATL,True
1996,NBA,Boston Celtics,BOS,False
1996,NBA,Charlotte Hornets,CHH,False
1996,NBA,Chicago Bulls,CHI,True
1996,NBA,Cleveland Cavaliers,CLE,True
1996,NBA,Dallas Mavericks,DAL,False
1996,NBA,Denver Nuggets,DEN,False
1996,NBA,Detroit Pistons,DET,True
1996,NBA,Golden State Warriors,GSW,False
1996,NBA,Houston Rockets,HOU,True
1996,NBA,Indiana Pacers,IND,True
1996,NBA,Los Angeles Clippers,LAC,False
1996,NBA,Los Angeles Lakers,LAL,True
1996,NBA,Miami Heat,MIA,True
1996,NBA,Milwaukee Bucks,MIL,False
1996,NBA,Minnesota Timberwolves,MIN,False
1996,NBA,New Jersey Nets,NJN,False
1996,NBA,New York Knicks,NYK,True
1996,NBA,Orlando Magic,ORL,True
1996,NBA,Philadelphia 76ers,PHI,False
1996,NBA,Phoenix Suns,PHO,True
1996,NBA,Portland Trail Blazers,POR,True
1996,NBA,Sacramento Kings,SAC,True
1996,NBA,San Antonio Spurs,SAS,True
1996,NBA,Seattle SuperSonics,SEA,True
1996,NBA,Toronto Raptors,TOR,False
1996,NBA,Utah Jazz,UTA,True
1996,NBA,Vancouver Grizzlies,VAN,False
1996,NBA,Washington Bullets,WSB,False
1995,NBA,Atlanta Hawks,ATL,True
1995,NBA,Boston Celtics,BOS,True
1995,NBA,Charlotte Hornets,CHH,True
1995,NBA,Chicago Bulls,CHI,True
1995,NBA,Cleveland Cavaliers,CLE,True
1995,NBA,Dallas Mavericks,DAL,False
1995,NBA,Denver Nuggets,DEN,True
1995,NBA,Detroit Pistons,DET,False
1995,NBA,Golden State Warriors,GSW,False
1995,NBA,Houston Rockets,HOU,True
1995,NBA,Indiana Pacers,IND,True
1995,NBA,Los Angeles Clippers,LAC,False
1995,NBA,Los Angeles Lakers,LAL,True
1995,NBA,Miami Heat,MIA,False
1995,NBA,Milwaukee Bucks,MIL,False
1995,NBA,Minnesota Timberwolves,MIN,False
1995,NBA,New Jersey Nets,NJN,False
1995,NBA,New York Knicks,NYK,True
1995,NBA,Orlando Magic,ORL,True
1995,NBA,Philadelphia 76ers,PHI,False
1995,NBA,Phoenix Suns,PHO,True
1995,NBA,Portland Trail Blazers,POR,True
1995,NBA,Sacramento Kings,SAC,False
1995,NBA,San Antonio Spurs,SAS,True
1995,NBA,Seattle SuperSonics,SEA,True
1995,NBA,Utah Jazz,UTA,True
1995,NBA,Washington Bullets,WSB,False
1994,NBA,Atlanta Hawks,ATL,True
1994,NBA,Boston Celtics,BOS,False
1994,NBA,Charlotte Hornets,CHH,False
1994,NBA,Chicago Bulls,CHI,True
1994,NBA,Cleveland Cavaliers,CLE,True
1994,NBA,Dallas Mavericks,DAL,False
1994,NBA,Denver Nuggets,DEN,True
1994,NBA,Detroit Pistons,DET,False
1994,NBA,Golden State Warriors,GSW,True
1994,NBA,Houston Rockets,HOU,True
1994,NBA,Indiana Pacers,IND,True
1994,NBA,Los Angeles Clippers,LAC,False
1994,NBA,Los Angeles Lakers,LAL,False
1994,NBA,Miami Heat,MIA,True
1994,NBA,Milwaukee Bucks,MIL,False
1994,NBA,Minnesota Timberwolves,MIN,False
1994,NBA,New Jersey Nets,NJN,True
1994,NBA,New York Knicks,NYK,True
1994,NBA,Orlando Magic,ORL,True
1994,NBA,Philadelphia 76ers,PHI,False
1994,NBA,Phoenix Suns,PHO,True
1994,NBA,Portland Trail Blazers,POR,True
1994,NBA,Sacramento Kings,SAC,False
1994,NBA,San Antonio Spurs,SAS,True
1994,NBA,Seattle SuperSonics,SEA,True
1994,NBA,Utah Jazz,UTA,True
1994,NBA,Washington Bullets,WSB,False
1993,NBA,Atlanta Hawks,ATL,True
1993,NBA,Boston Celtics,BOS,True
1993,NBA,Charlotte Hornets,CHH,True
1993,NBA,Chicago Bulls,CHI,True
1993,NBA,Cleveland Cavaliers,CLE,True
1993,NBA,Dallas Mavericks,DAL,False
1993,NBA,Denver Nuggets,DEN,False
1993,NBA,Detroit Pistons,DET,False
1993,NBA,Golden State Warriors,GSW,False
1993,NBA,Houston Rockets,HOU,True
1993,NBA,Indiana Pacers,IND,True
1993,NBA,Los Angeles Clippers,LAC,True
1993,NBA,Los Angeles Lakers,LAL,True
1993,NBA,Miami Heat,MIA,False
1993,NBA,Milwaukee Bucks,MIL,False
1993,NBA,Minnesota Timberwolves,MIN,False
1993,NBA,New Jersey Nets,NJN,True
1993,NBA,New York Knicks,NYK,True
1993,NBA,Orlando Magic,ORL,False
1993,NBA,Philadelphia 76ers,PHI,False
1993,NBA,Phoenix Suns,PHO,True
1993,NBA,Portland Trail Blazers,POR,True
1993,NBA,Sacramento Kings,SAC,False
1993,NBA,San Antonio Spurs,SAS,True
1993,NBA,Seattle SuperSonics,SEA,True
1993,NBA,Utah Jazz,UTA,True
1993,NBA,Washington Bullets,WSB,False
1992,NBA,Atlanta Hawks,ATL,False
1992,NBA,Boston Celtics,BOS,True
1992,NBA,Charlotte Hornets,CHH,False
1992,NBA,Chicago Bulls,CHI,True
1992,NBA,Cleveland Cavaliers,CLE,True
1992,NBA,Dallas Mavericks,DAL,False
1992,NBA,Denver Nuggets,DEN,False
1992,NBA,Detroit Pistons,DET,True
1992,NBA,Golden State Warriors,GSW,True
1992,NBA,Houston Rockets,HOU,False
1992,NBA,Indiana Pacers,IND,True
1992,NBA,Los Angeles Clippers,LAC,True
1992,NBA,Los Angeles Lakers,LAL,True
1992,NBA,Miami Heat,MIA,True
1992,NBA,Milwaukee Bucks,MIL,False
1992,NBA,Minnesota Timberwolves,MIN,False
1992,NBA,New Jersey Nets,NJN,True
1992,NBA,New York Knicks,NYK,True
1992,NBA,Orlando Magic,ORL,False
1992,NBA,Philadelphia 76ers,PHI,False
1992,NBA,Phoenix Suns,PHO,True
1992,NBA,Portland Trail Blazers,POR,True
1992,NBA,Sacramento Kings,SAC,False
1992,NBA,San Antonio Spurs,SAS,True
1992,NBA,Seattle SuperSonics,SEA,True
1992,NBA,Utah Jazz,UTA,True
1992,NBA,Washington Bullets,WSB,False
1991,NBA,Atlanta Hawks,ATL,True
1991,NBA,Boston Celtics,BOS,True
1991,NBA,Charlotte Hornets,CHH,False
1991,NBA,Chicago Bulls,CHI,True
1991,NBA,Cleveland Cavaliers,CLE,False
1991,NBA,Dallas Mavericks,DAL,False
1991,NBA,Denver Nuggets,DEN,False
1991,NBA,Detroit Pistons,DET,True
1991,NBA,Golden State Warriors,GSW,True
1991,NBA,Houston Rockets,HOU,True
1991,NBA,Indiana Pacers,IND,True
1991,NBA,Los Angeles Clippers,LAC,False
1991,NBA,Los Angeles Lakers,LAL,True
1991,NBA,Miami Heat,MIA,False
1991,NBA,Milwaukee Bucks,MIL,True
1991,NBA,Minnesota Timberwolves,MIN,False
1991,NBA,New Jersey Nets,NJN,False
1991,NBA,New York Knicks,NYK,True
1991,NBA,Orlando Magic,ORL,False
1991,NBA,Philadelphia 76ers,PHI,True
1991,NBA,Phoenix Suns,PHO,True
1991,NBA,Portland Trail Blazers,POR,True
1991,NBA,Sacramento Kings,SAC,False
1991,NBA,San Antonio Spurs,SAS,True
1991,NBA,Seattle SuperSonics,SEA,True
1991,NBA,Utah Jazz,UTA,True
1991,NBA,Washington Bullets,WSB,False
1990,NBA,Atlanta Hawks,ATL,False
1990,NBA,Boston Celtics,BOS,True
1990,NBA,Charlotte Hornets,CHH,False
1990,NBA,Chicago Bulls,CHI,True
1990,NBA,Cleveland Cavaliers,CLE,True
1990,NBA,Dallas Mavericks,DAL,True
1990,NBA,Denver Nuggets,DEN,True
1990,NBA,Detroit Pistons,DET,True
1990,NBA,Golden State Warriors,GSW,False
1990,NBA,Houston Rockets,HOU,True
1990,NBA,Indiana Pacers,IND,True
1990,NBA,Los Angeles Clippers,LAC,False
1990,NBA,Los Angeles Lakers,LAL,True
1990,NBA,Miami Heat,MIA,False
1990,NBA,Milwaukee Bucks,MIL,True
1990,NBA,Minnesota Timberwolves,MIN,False
1990,NBA,New Jersey Nets,NJN,False
1990,NBA,New York Knicks,NYK,True
1990,NBA,Orlando Magic,ORL,False
1990,NBA,Philadelphia 76ers,PHI,True
1990,NBA,Phoenix Suns,PHO,True
1990,NBA,Portland Trail Blazers,POR,True
1990,NBA,Sacramento Kings,SAC,False
1990,NBA,San Antonio Spurs,SAS,True
1990,NBA,Seattle SuperSonics,SEA,False
1990,NBA,Utah Jazz,UTA,True
1990,NBA,Washington Bullets,WSB,False
1989,NBA,Atlanta Hawks,ATL,True
1989,NBA,Boston Celtics,BOS,True
1989,NBA,Charlotte Hornets,CHH,False
1989,NBA,Chicago Bulls,CHI,True
1989,NBA,Cleveland Cavaliers,CLE,True
1989,NBA,Dallas Mavericks,DAL,False
1989,NBA,Denver Nuggets,DEN,True
1989,NBA,Detroit Pistons,DET,True
1989,NBA,Golden State Warriors,GSW,True
1989,NBA,Houston Rockets,HOU,True
1989,NBA,Indiana Pacers,IND,False
1989,NBA,Los Angeles Clippers,LAC,False
1989,NBA,Los Angeles Lakers,LAL,True
1989,NBA,Miami Heat,MIA,False
1989,NBA,Milwaukee Bucks,MIL,True
1989,NBA,New Jersey Nets,NJN,False
1989,NBA,New York Knicks,NYK,True
1989,NBA,Philadelphia 76ers,PHI,True
1989,NBA,Phoenix Suns,PHO,True
1989,NBA,Portland Trail Blazers,POR,True
1989,NBA,Sacramento Kings,SAC,False
1989,NBA,San Antonio Spurs,SAS,False
1989,NBA,Seattle SuperSonics,SEA,True
1989,NBA,Utah Jazz,UTA,True
1989,NBA,Washington Bullets,WSB,False
1988,NBA,Atlanta Hawks,ATL,True
1988,NBA,Boston Celtics,BOS,True
1988,NBA,Chicago Bulls,CHI,True
1988,NBA,Cleveland Cavaliers,CLE,True
1988,NBA,Dallas Mavericks,DAL,True
1988,NBA,Denver Nuggets,DEN,True
1988,NBA,Detroit Pistons,DET,True
1988,NBA,Golden State Warriors,GSW,False
1988,NBA,Houston Rockets,HOU,True
1988,NBA,Indiana Pacers,IND,False
1988,NBA,Los Angeles Clippers,LAC,False
1988,NBA,Los Angeles Lakers,LAL,True
1988,NBA,Milwaukee Bucks,MIL,True
1988,NBA,New Jersey Nets,NJN,False
1988,NBA,New York Knicks,NYK,True
1988,NBA,Philadelphia 76ers,PHI,False
1988,NBA,Phoenix Suns,PHO,False
1988,NBA,Portland Trail Blazers,POR,True
1988,NBA,Sacramento Kings,SAC,False
1988,NBA,San Antonio Spurs,SAS,True
1988,NBA,Seattle SuperSonics,SEA,True
1988,NBA,Utah Jazz,UTA,True
1988,NBA,Washington Bullets,WSB,True
1987,NBA,Atlanta Hawks,ATL,True
1987,NBA,Boston Celtics,BOS,True
1987,NBA,Chicago Bulls,CHI,True
1987,NBA,Cleveland Cavaliers,CLE,False
1987,NBA,Dallas Mavericks,DAL,True
1987,NBA,Denver Nuggets,DEN,True
1987,NBA,Detroit Pistons,DET,True
1987,NBA,Golden State Warriors,GSW,True
1987,NBA,Houston Rockets,HOU,True
1987,NBA,Indiana Pacers,IND,True
1987,NBA,Los Angeles Clippers,LAC,False
1987,NBA,Los Angeles Lakers,LAL,True
1987,NBA,Milwaukee Bucks,MIL,True
1987,NBA,New Jersey Nets,NJN,False
1987,NBA,New York Knicks,NYK,False
1987,NBA,Philadelphia 76ers,PHI,True
1987,NBA,Phoenix Suns,PHO,False
1987,NBA,Portland Trail Blazers,POR,True
1987,NBA,Sacramento Kings,SAC,False
1987,NBA,San Antonio Spurs,SAS,False
1987,NBA,Seattle SuperSonics,SEA,True
1987,NBA,Utah Jazz,UTA,True
1987,NBA,Washington Bullets,WSB,True
1986,NBA,Atlanta Hawks,ATL,True
1986,NBA,Boston Celtics,BOS,True
1986,NBA,Chicago Bulls,CHI,True
1986,NBA,Cleveland Cavaliers,CLE,False
1986,NBA,Dallas Mavericks,DAL,True
1986,NBA,Denver Nuggets,DEN,True
1986,NBA,Detroit Pistons,DET,True
1986,NBA,Golden State Warriors,GSW,False
1986,NBA,Houston Rockets,HOU,True
1986,NBA,Indiana Pacers,IND,False
1986,NBA,Los Angeles Clippers,LAC,False
1986,NBA,Los Angeles Lakers,LAL,True
1986,NBA,Milwaukee Bucks,MIL,True
1986,NBA,New Jersey Nets,NJN,True
1986,NBA,New York Knicks,NYK,False
1986,NBA,Philadelphia 76ers,PHI,True
1986,NBA,Phoenix Suns,PHO,False
1986,NBA,Portland Trail Blazers,POR,True
1986,NBA,Sacramento Kings,SAC,True
1986,NBA,San Antonio Spurs,SAS,True
1986,NBA,Seattle SuperSonics,SEA,False
1986,NBA,Utah Jazz,UTA,True
1986,NBA,Washington Bullets,WSB,True
1985,NBA,Atlanta Hawks,ATL,False
1985,NBA,Boston Celtics,BOS,True
1985,NBA,Chicago Bulls,CHI,True
1985,NBA,Cleveland Cavaliers,CLE,True
1985,NBA,Dallas Mavericks,DAL,True
1985,NBA,Denver Nuggets,DEN,True
1985,NBA,Detroit Pistons,DET,True
1985,NBA,Golden State Warriors,GSW,False
1985,NBA,Houston Rockets,HOU,True
1985,NBA,Indiana Pacers,IND,False
1985,NBA,Kansas City Kings,KCK,False
1985,NBA,Los Angeles Clippers,LAC,False
1985,NBA,Los Angeles Lakers,LAL,True
1985,NBA,Milwaukee Bucks,MIL,True
1985,NBA,New Jersey Nets,NJN,True
1985,NBA,New York Knicks,NYK,False
1985,NBA,Philadelphia 76ers,PHI,True
1985,NBA,Phoenix Suns,PHO,True
1985,NBA,Portland Trail Blazers,POR,True
1985,NBA,San Antonio Spurs,SAS,True
1985,NBA,Seattle SuperSonics,SEA,False
1985,NBA,Utah Jazz,UTA,True
1985,NBA,Washington Bullets,WSB,True
1984,NBA,Atlanta Hawks,ATL,True
1984,NBA,Boston Celtics,BOS,True
1984,NBA,Chicago Bulls,CHI,False
1984,NBA,Cleveland Cavaliers,CLE,False
1984,NBA,Dallas Mavericks,DAL,True
1984,NBA,Denver Nuggets,DEN,True
1984,NBA,Detroit Pistons,DET,True
1984,NBA,Golden State Warriors,GSW,False
1984,NBA,Houston Rockets,HOU,False
1984,NBA,Indiana Pacers,IND,False
1984,NBA,Kansas City Kings,KCK,True
1984,NBA,Los Angeles Lakers,LAL,True
1984,NBA,Milwaukee Bucks,MIL,True
1984,NBA,New Jersey Nets,NJN,True
1984,NBA,New York Knicks,NYK,True
1984,NBA,Philadelphia 76ers,PHI,True
1984,NBA,Phoenix Suns,PHO,True
1984,NBA,Portland Trail Blazers,POR,True
1984,NBA,San Antonio Spurs,SAS,False
1984,NBA,San Diego Clippers,SDC,False
1984,NBA,Seattle SuperSonics,SEA,True
1984,NBA,Utah Jazz,UTA,True
1984,NBA,Washington Bullets,WSB,True
1983,NBA,Atlanta Hawks,ATL,True
1983,NBA,Boston Celtics,BOS,True
1983,NBA,Chicago Bulls,CHI,False
1983,NBA,Cleveland Cavaliers,CLE,False
1983,NBA,Dallas Mavericks,DAL,False
1983,NBA,Denver Nuggets,DEN,True
1983,NBA,Detroit Pistons,DET,False
1983,NBA,Golden State Warriors,GSW,False
1983,NBA,Houston Rockets,HOU,False
1983,NBA,Indiana Pacers,IND,False
1983,NBA,Kansas City Kings,KCK,False
1983,NBA,Los Angeles Lakers,LAL,True
1983,NBA,Milwaukee Bucks,MIL,True
1983,NBA,New Jersey Nets,NJN,True
1983,NBA,New York Knicks,NYK,True
1983,NBA,Philadelphia 76ers,PHI,True
1983,NBA,Phoenix Suns,PHO,True
1983,NBA,Portland Trail Blazers,POR,True
1983,NBA,San Antonio Spurs,SAS,True
1983,NBA,San Diego Clippers,SDC,False
